,tweet_id,retweet_count,favorite_count
538,803692223237865472,7295,0
539,803638050916102144,4069,10794
540,803380650405482500,1843,7649
541,803321560782307329,5198,0
542,803276597545603072,2408,9893
543,802952499103731712,1956,8902
544,802624713319034886,2848,0
545,802600418706604034,1426,7003
546,802572683846291456,2464,8827
547,802323869084381190,5727,15952
548,802265048156610565,1347,6836
549,802239329049477120,2573,8964
550,802185808107208704,269,0
551,801958328846974976,1681,7656
552,801854953262350336,234,1770
553,801538201127157760,2031,8118
554,801285448605831168,804,5953
555,801167903437357056,5786,24085
556,801127390143516673,3878,0
557,801115127852503040,2065,7965
558,800859414831898624,96,678
559,800855607700029440,1575,0
560,800751577355128832,2744,10436
561,800513324630806528,2942,12966
562,800459316964663297,2135,9375
563,800443802682937345,4220,0
564,800388270626521089,2757,11008
565,800188575492947969,3853,0
566,800141422401830912,2491,15055
567,800018252395122689,12873,27935
568,799774291445383169,4574,0
569,799757965289017345,2115,8274
570,799422933579902976,1889,7948
571,799308762079035393,5353,0
572,799297110730567681,2694,9736
573,799063482566066176,2430,7984
574,798933969379225600,4370,12895
575,798925684722855936,1415,7415
576,798705661114773508,6512,0
577,798701998996647937,7615,0
578,798697898615730177,6399,0
579,798694562394996736,4859,0
580,798686750113755136,2283,0
581,798682547630837760,4658,0
582,798673117451325440,5465,0
583,798665375516884993,3841,0
584,798644042770751489,1811,0
585,798628517273620480,1941,0
586,798585098161549313,5558,0
587,798576900688019456,5729,0
588,798340744599797760,3265,0
589,798209839306514432,2503,10267
590,797971864723324932,3045,11424
591,797545162159308800,4791,14353
592,797236660651966464,6432,19650
593,797165961484890113,26,223
594,796904159865868288,8746,0
595,796865951799083009,1887,7576
596,796759840936919040,2976,11624
597,796563435802726400,7082,0
598,796484825502875648,1722,7461
599,796387464403357696,4065,10845
600,796177847564038144,13996,0
601,796149749086875649,13996,31792
602,796125600683540480,1761,4900
603,796116448414461957,2355,8957
604,796080075804475393,2260,8341
605,796031486298386433,3652,10648
606,795464331001561088,23084,48773
607,795400264262053889,2800,9882
608,795076730285391872,5344,15967
609,794983741416415232,3304,0
610,794926597468000259,2270,10077
611,794355576146903043,10081,0
612,794332329137291264,2629,9472
613,794205286408003585,3257,9110
614,793962221541933056,4795,16591
615,793845145112371200,1819,9100
616,793614319594401792,3074,0
617,793601777308463104,1583,7878
618,793500921481273345,2333,10520
619,793286476301799424,8985,24236
620,793271401113350145,2349,8571
621,793256262322548741,8189,19700
622,793241302385262592,3233,10359
623,793226087023144960,2826,9672
624,793210959003287553,2746,8802
625,793195938047070209,5512,15051
626,793180763617361921,1963,6841
627,793165685325201412,2730,9255
628,793150605191548928,1667,6102
629,793135492858580992,2454,6308
630,793120401413079041,3834,12477
631,792913359805018113,3896,14099
632,792883833364439040,4176,11129
633,792773781206999040,1644,7256
634,792394556390137856,4223,13211
635,792050063153438720,1753,7033
636,791821351946420224,20677,0
637,791784077045166082,9359,0
638,791780927877898241,3746,0
639,791774931465953280,21721,44417
640,791672322847637504,3074,11582
641,791406955684368384,4030,12951
642,791312159183634433,2481,8629
